PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0BYw5,5rk1/5p1p/5Qp1/7P/1p1p4/pPqP1P2/P1PR1P2/2K3R1 w - - 1 25,c1d1 c3a1 d1e2 f8e8 f6e7 e8e7,2048,81,71,133,endgame long mate mateIn3,https://lichess.org/CaooWyti#49,
0BZ09,2Q5/4bK2/3p2p1/6k1/5r2/8/2P5/8 w - - 11 61,f7g8 f4f8 c8f8 e7f8,809,93,87,45,crushing endgame fork short,https://lichess.org/fzJElvlh#121,
0BZ4w,8/6p1/7p/2kr4/1p6/7P/2KR1PP1/8 w - - 0 39,d2d5 c5d5 c2b3 d5c5 h3h4 h6h5,2021,82,80,35,crushing defensiveMove endgame long,https://lichess.org/J4fhDzgI#77,
0BZ7r,4rRk1/7p/pq2p1pb/1p1pQ3/8/P1P3PB/7P/R6K b - - 0 26,e8f8 h3e6 b6e6 e5e6,1257,77,78,161,crushing endgame short,https://lichess.org/EvecKAQP/black#52,
0BZ8F,5rk1/p5p1/1p4QN/3r4/P7/2p5/1qP3PP/5RK1 b - - 0 28,g8h8 f1f8,990,76,100,395,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/jNL0eXkC/black#56,
0BZHk,5r2/5q1k/4p2p/p2pP1n1/P1ppn2N/Q4NP1/1P4K1/5R2 b - - 3 33,f8g8 f3g5 e4g5 f1f7,933,117,89,24,crushing discoveredAttack middlegame short,https://lichess.org/WjZizIoB/black#66,
0BZIM,r2q1r2/ppb2pk1/2n4p/4pN2/1PPpn3/P7/4BPPP/R1Q2RK1 b - - 1 18,g7h7 c1h6 h7g8 h6g7,868,76,100,260,mate mateIn2 middlegame short,https://lichess.org/YaVNNUbV/black#36,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
0BZQ7,1Q1k4/5P2/p1p3p1/P1Pp1qP1/4p2K/8/5P2/8 b - - 2 54,d8e7 b8e8,1413,77,91,1837,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/zA6ZLz7U/black#108,
0BZRP,r1bqk2r/ppp2ppp/1bn5/3p4/1P1pP3/2P2N2/P2NBKPP/R1BQ1R2 w kq - 0 11,f3d4 c6d4 c3d4 b6d4,1536,75,83,186,advantage opening short,https://lichess.org/bYHklSHy#21,Kings_Pawn_Game Kings_Pawn_Game_Tayler_Opening
0BZTU,r4rk1/3b2pp/3p4/p2Pqpb1/3Np3/2P2P2/RPQ1B1PP/5R1K w - - 4 23,d4c6 e5d5 c6a5 a8a5 a2a5 d5a5,2392,83,75,138,crushing fork long middlegame,https://lichess.org/WH2PGONk#45,
0BZUm,r5k1/2pb1r2/1p1p1B2/2nPp1Q1/2P1Pn2/pPq4P/P2N1P2/1K4RR b - - 1 30,g8h7 g5h4 f4h5 h4h5,1359,75,100,263,mate mateIn2 middlegame short,https://lichess.org/mLAsgl9V/black#60,
0BZVZ,8/8/8/p1p4K/P6P/1k6/8/8 w - - 0 55,h5g5 c5c4 h4h5 c4c3 h5h6 c3c2,904,86,90,391,advancedPawn crushing endgame long pawnEndgame quietMove,https://lichess.org/De7pjbB8#109,
0BZVm,r3k2r/pb2b1pp/5n2/1p2N3/2p5/4P3/1PP2PPP/RN2KB1R w KQkq - 0 14,a1a5 e7b4 c2c3 b4a5,839,85,96,2403,crushing fork middlegame short,https://lichess.org/wdcqtgl2#27,Englund_Gambit_Complex Englund_Gambit_Complex_Stockholm_Variation
0BZW9,4brk1/1p4p1/p1pp3p/4p3/2P2qP1/1P1P2RP/1P2RP1K/3Q4 w - - 5 30,e2e3 f4f2 h2h1 c6c5,1867,76,93,2890,crushing defensiveMove endgame short,https://lichess.org/OWo5cg9U#59,
0BZX0,8/1p5p/p1p5/2Pk2p1/P2Pp3/4P1K1/6PP/8 b - - 4 31,h7h5 h2h4 g5h4 g3f4 a6a5 f4f5 h4h3 g2h3 h5h4 f5f4 d5c4 f4e4,2821,116,89,810,crushing defensiveMove endgame pawnEndgame veryLong,https://lichess.org/d8ZTao1N/black#62,
